task_id,request_id,title,created_date,module,scheduled_start_time,scheduled_end_time,actual_start_time,actual_end_time,status_id,status_name,group_name,group_id,owner_Email,owner_Name,owner_id,CreatedBy_Email,CreatedBy_Name,CreatedBy_id,Priority_name,percentage_completion,Estimated_effort_days,task_type_name,Task_order,overdue,ticket_id,subject,description,site_id,site_name
1989000005718769,1989000000255256,,"{'display_value': 'Jan 16, 2025 08:09 AM', 'value': '1736995161888'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,ALDI BI Report - SKU Update  - #3298 - Bulla Frozen Yoghurt Strawberry 1Lx8,,,
1989000005681011,1989000004761536,,"{'display_value': 'Jan 10, 2025 01:11 PM', 'value': '1736494918151'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Data check in Coles Report (Old) for Coles Forecast Cases,,,
1989000005665471,1989000000232939,,"{'display_value': 'Jan 10, 2025 05:33 AM', 'value': '1736467423744'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: PPV report,,,
1989000005650131,1989000000225753,,"{'display_value': 'Jan 8, 2025 07:19 AM', 'value': '1736300948002'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,URGENT - Issue with BI report not updating when data is refreshed,,,
1989000005644901,1989000000232939,,"{'display_value': 'Jan 8, 2025 02:23 AM', 'value': '1736283237331'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,225115  Cnt Strawberry 66236 15kg ScBb,,,
1989000005644823,1989000000233713,,"{'display_value': 'Jan 7, 2025 10:50 AM', 'value': '1736227225560'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: PROJECT 240303 - Hearn Street - Line B not setup,,,
1989000005624097,1989000000226149,,"{'display_value': 'Jan 3, 2025 03:25 AM', 'value': '1735854931305'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP Parked Dashboard - Additional Name to be added,,,
1989000005615775,1989000004761536,,"{'display_value': 'Jan 2, 2025 09:50 AM', 'value': '1735791622920'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Re: [Request ID :##48195##] : Automate Coles & ALDI forecast reports,,,
1989000005615085,1989000000252986,,"{'display_value': 'Dec 30, 2024 02:50 AM', 'value': '1735507251059'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Calendar week offset issue in BI,,,
1989000005573641,1989000000240469,,"{'display_value': 'Dec 18, 2024 04:36 AM', 'value': '1734476777397'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI Refresh of WFR Aurion data every 30 mins,,,
1989000005573587,1989000000228019,,"{'display_value': 'Dec 18, 2024 04:14 AM', 'value': '1734475496428'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Sales Tracking Model & Time Stamp,,,
1989000005573331,1989000000254090,,"{'display_value': 'Dec 17, 2024 10:15 AM', 'value': '1734410727891'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: MUL-ScrapReview.xlsx,,,
1989000005574891,1989000000275213,,"{'display_value': 'Dec 17, 2024 09:29 AM', 'value': '1734407983284'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,PRO FRT load - Dec F25,,,
1989000005549649,1989000000228717,,"{'display_value': 'Dec 13, 2024 11:45 AM', 'value': '1734070526745'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP Parked Dashboard - Additional Name to be added,,,
1989000005549331,1989000000232365,,"{'display_value': 'Dec 13, 2024 06:46 AM', 'value': '1734052604486'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE:  The OEE dashboard (BI-FY25-Unplanned),,,
1989000005525573,1989000000226359,,"{'display_value': 'Dec 9, 2024 05:04 AM', 'value': '1733700883236'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,RE: [Request ID :##92972##] : 001 Milk Solids Composition Report,,,
1989000005525375,1989000000253339,,"{'display_value': 'Dec 9, 2024 03:23 AM', 'value': '1733694838298'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Bulla | MSFT - CMF Activities - SQL migration,,,
1989000005474591,1989000000233713,,"{'display_value': 'Dec 3, 2024 03:46 AM', 'value': '1733177768198'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Error in Weekly Stocks Below Target Report,,,
1989000005474381,1989000000254045,,"{'display_value': 'Dec 2, 2024 10:41 AM', 'value': '1733116286485'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,RE: Forecast Report for MPD,,,
1989000005463633,1989000000228951,,"{'display_value': 'Dec 2, 2024 08:02 AM', 'value': '1733106767402'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,BI reports,,,
1989000005463447,1989000000252979,,"{'display_value': 'Dec 2, 2024 06:25 AM', 'value': '1733100911354'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,ACTUAL FRT not in CMT FRT,,,
1989000005446281,1989000000232783,,"{'display_value': 'Nov 29, 2024 07:33 AM', 'value': '1732845782548'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,FW: Bi Reports,,,
1989000005434515,1989000000226285,,"{'display_value': 'Nov 28, 2024 06:47 AM', 'value': '1732756662323'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Fwd: PPV BI report,,,
1989000005417577,1989000000225977,,"{'display_value': 'Nov 26, 2024 01:39 AM', 'value': '1732565362978'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Trying to refresh the below and keep getting this error?,,,
1989000005417385,1989000000254125,,"{'display_value': 'Nov 25, 2024 10:11 AM', 'value': '1732509717478'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Component COGS missing,,,
1989000005402633,1989000000232923,,"{'display_value': 'Nov 22, 2024 11:52 AM', 'value': '1732256538925'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,PRO FRT P05 Load,,,
1989000005363245,1989000000256568,,"{'display_value': 'Nov 15, 2024 05:21 AM', 'value': '1731628307941'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP parked dashboard update,,,
1989000005351307,1989000000228717,,"{'display_value': 'Nov 14, 2024 05:51 PM', 'value': '1731586907081'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP Parked Dashboard - Additional Name to be added,,,
1989000005344163,1989000000270748,,"{'display_value': 'Nov 14, 2024 02:49 AM', 'value': '1731532791844'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,Assistance in Blueshift SFTP Change - BI ticket,,,
1989000005323008,1989000003571167,,"{'display_value': 'Nov 12, 2024 04:38 AM', 'value': '1731366507908'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Error in Consumption Report,,,
1989000005282968,1989000000253216,,"{'display_value': 'Nov 6, 2024 08:15 AM', 'value': '1730861136822'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Consumer Complaints / Feedback Dashboard (BI-FY25-Unplanned),,,
1989000005272639,1989000000254125,,"{'display_value': 'Nov 4, 2024 09:02 AM', 'value': '1730691152578'}",,,,,,1989000000004937,Open,BI,1989000000279305,,,,,,,,,,,,,,F25 P4 Fixed Assets Register.xlsx (BI-FY26-planned),,,
1989000005272615,1989000000254125,,"{'display_value': 'Nov 4, 2024 08:49 AM', 'value': '1730690386667'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,Inventory,,,
1989000005265520,1989000000228717,,"{'display_value': 'Nov 1, 2024 08:47 AM', 'value': '1730431051304'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,AP Parked Dashboard - Additional Name to be added,,,
1989000005257550,1989000000232923,,"{'display_value': 'Oct 31, 2024 07:35 AM', 'value': '1730340334693'}",,,,,,1989000000004941,Closed,BI,1989000000279305,,,,,,,,,,,,,,SAC No Longer Refreshing,,,
